Quarter,Year,US PMI,China PMI,Japan PMI,FraPMI,GerPMI,ItaPMI,UKPMI,Global PMI
1,2000,55.80,,,59.92,55.88,57.68,51.10,56.02
2,2000,53.10,,,64.30,59.83,58.32,51.26,56.01
3,2000,50.70,,,62.01,57.66,57.23,51.21,54.17
4,2000,47.03,,,54.47,55.23,54.94,50.99,51.05
5,2001,42.50,,,52.86,52.52,52.24,50.57,47.54
6,2001,42.40,,,48.87,48.24,48.62,47.32,46.29
7,2001,45.33,,,47.16,45.92,46.57,46.63,47.19
8,2001,43.40,,,42.34,43.15,44.61,46.04,43.42
9,2002,50.20,,,47.16,45.92,46.57,46.63,48.93
10,2002,53.03,,,42.34,43.15,44.61,46.04,52.95
11,2002,50.33,,,48.28,46.58,51.03,49.28,50.73
12,2002,49.70,,,53.10,49.67,51.48,52.30,49.78
13,2003,48.80,,,52.04,48.39,51.30,49.97,49.19
14,2003,48.03,,,49.07,48.01,50.94,49.64,48.61
15,2003,52.20,,,49.87,48.65,50.69,47.67,51.81
16,2003,57.90,,,46.75,45.45,48.41,49.24,55.95
17,2004,60.43,54.36,54.90,48.32,49.01,48.69,52.36,56.57
18,2004,60.83,54.36,55.11,51.85,51.76,52.00,55.20,57.13
19,2004,58.60,53.54,54.56,52.93,53.48,51.32,53.73,56.00
20,2004,56.57,51.87,51.59,54.91,55.80,52.52,55.04,53.57
21,2005,55.27,53.41,52.03,54.20,55.27,52.15,53.62,52.83
22,2005,52.13,52.89,53.67,52.70,51.45,49.37,54.58,51.80
23,2005,54.27,50.99,54.12,52.57,51.61,49.91,50.90,53.43
24,2005,56.00,50.00,55.25,49.74,49.67,48.18,48.37,54.50
25,2006,55.07,50.62,56.66,52.36,49.84,50.77,50.30,54.97
26,2006,53.90,52.81,55.05,52.18,53.13,53.06,52.68,55.30
27,2006,52.60,52.69,54.94,52.50,56.30,54.70,50.78,55.20
28,2006,50.97,52.52,53.65,55.84,58.71,57.01,53.97,53.50
29,2007,50.77,52.45,52.96,56.44,58.54,55.23,53.52,53.00
30,2007,52.90,54.13,51.40,55.66,58.65,55.30,53.90,54.20
31,2007,51.00,53.87,49.47,53.21,57.55,53.86,53.48,52.97
32,2007,49.77,53.77,50.87,53.98,56.81,54.30,54.38,51.83
33,2008,49.43,53.47,50.87,52.11,55.90,53.11,55.37,51.40
34,2008,49.50,54.47,47.60,52.27,53.00,51.10,53.00,50.07
35,2008,47.33,50.07,46.07,53.20,54.60,50.27,50.97,47.43
36,2008,35.87,42.43,36.57,50.60,53.27,47.70,48.63,36.87
37,2009,35.87,44.03,31.67,45.30,49.33,45.60,43.47,36.03
38,2009,42.97,51.03,45.40,37.60,37.10,36.70,36.60,44.67
39,2009,51.43,54.30,54.13,36.40,32.17,35.23,36.80,52.03
40,2009,54.60,55.73,53.47,43.10,38.63,40.43,45.07,54.23
41,2010,58.17,56.73,52.46,50.63,48.13,45.73,50.23,56.03
42,2010,58.77,52.77,54.10,55.70,59.46,54.20,57.80,56.67
43,2010,55.40,51.63,50.80,55.00,58.20,53.20,54.50,53.53
44,2010,57.86,54.80,47.60,56.30,56.60,52.50,55.70,54.40
45,2011,61.13,52.60,50.20,55.33,61.36,57.26,59.73,56.90
46,2011,56.40,51.67,49.23,54.90,58.10,52.70,52.60,53.43
47,2011,51.00,49.70,51.10,49.30,51.00,48.50,49.90,50.20
48,2011,52.50,49.10,49.90,48.20,48.50,43.90,48.20,50.10
49,2012,53.30,48.90,50.70,48.40,49.80,47.50,51.90,51.23
50,2012,52.67,48.63,50.43,45.60,45.47,44.40,48.25,50.30
51,2012,50.30,48.27,47.87,44.03,45.03,44.53,47.70,48.47
52,2012,50.63,50.50,46.13,44.27,46.27,45.77,49.27,49.50
53,2013,52.87,51.43,48.87,43.60,49.70,46.03,48.90,51.20
54,2013,50.20,49.27,51.63,46.40,48.70,47.30,51.40,50.57
55,2013,55.77,49.33,51.80,49.73,51.20,50.83,56.13,51.40
56,2013,56.90,50.73,54.83,48.17,52.90,51.80,57.23,52.87
57,2014,52.73,48.67,55.33,50.37,55.00,52.60,56.07,52.83
58,2014,55.20,49.40,50.27,49.67,53.00,53.27,57.27,52.23
59,2014,57.57,50.80,51.47,47.83,51.23,50.80,52.87,52.37
60,2014,57.73,50.00,52.13,48.13,50.70,48.80,53.08,51.87
61,2015,52.63,50.00,51.37,48.53,51.60,51.70,53.87,51.83
62,2015,52.60,49.17,50.30,49.37,51.70,54.23,51.70,51.10
63,2015,51.33,47.43,51.30,49.50,52.47,53.93,51.67,50.77
64,2015,49.63,48.03,52.00,50.60,52.43,53.90,53.23,51.03
65,2016,49.83,48.70,50.50,49.93,51.17,52.97,51.77,50.47
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
