REQUEST_YRQTR,GEO_CONTINENT,STRIPE,BOOKED_AMOUNT
2000-Q1,APAC,Academic,248141.10365013892
2000-Q1,APAC,Core Test,1388072.3850263003
2000-Q1,APAC,Data Acquisition,1.008217915785771E7
2000-Q1,APAC,Embedded Systems,993684.998437656
2000-Q1,APAC,Global Services,47284.1257100871
2000-Q1,APAC,No Stripe Assigned,655.474695
2000-Q1,APAC,Software,2544754.054877822
2000-Q1,Americas,Academic,255879.5896043803
2000-Q1,Americas,Core Test,7459691.521197639
2000-Q1,Americas,Data Acquisition,2.8673872175373927E7
2000-Q1,Americas,Embedded Systems,4306782.146400731
2000-Q1,Americas,Global Services,338973.6658561787
2000-Q1,Americas,No Stripe Assigned,25.0
2000-Q1,Americas,Software,9497375.789512396
2000-Q1,EMEIA,Academic,330559.7505637488
2000-Q1,EMEIA,Core Test,5581525.122217899
2000-Q1,EMEIA,Data Acquisition,1.6348178730729569E7
2000-Q1,EMEIA,Embedded Systems,2698468.205184452
2000-Q1,EMEIA,Global Services,150186.24453631736
2000-Q1,EMEIA,No Stripe Assigned,4171.845517682899
2000-Q1,EMEIA,Software,5657851.565108329
2000-Q2,APAC,Academic,156704.46468190005
2000-Q2,APAC,Core Test,1331279.2036478752
2000-Q2,APAC,Data Acquisition,9054331.223145662
2000-Q2,APAC,Embedded Systems,1012256.1791018032
2000-Q2,APAC,Global Services,62298.79593616339
2000-Q2,APAC,Software,1913261.4038797093
2000-Q2,Americas,Academic,490676.8321614181
2000-Q2,Americas,Core Test,8964219.560034098
2000-Q2,Americas,Data Acquisition,2.9735736130260848E7
2000-Q2,Americas,Embedded Systems,4788045.885582033
2000-Q2,Americas,Global Services,347976.71765671804
2000-Q2,Americas,No Stripe Assigned,101.25
2000-Q2,Americas,Software,9896120.03107424
2000-Q2,EMEIA,Academic,444661.4148214932
2000-Q2,EMEIA,Core Test,4526696.232576642
2000-Q2,EMEIA,Data Acquisition,1.5248548704877147E7
2000-Q2,EMEIA,Embedded Systems,3124435.156189354
2000-Q2,EMEIA,Global Services,293455.81374505325
2000-Q2,EMEIA,No Stripe Assigned,3394.9136356675463
2000-Q2,EMEIA,Software,4951053.792058326
2000-Q3,APAC,Academic,162261.3448506393
2000-Q3,APAC,Core Test,1350477.740090562
2000-Q3,APAC,Data Acquisition,1.0563201515151989E7
2000-Q3,APAC,Embedded Systems,1309308.1237835672
2000-Q3,APAC,Global Services,91196.61350957092
2000-Q3,APAC,No Stripe Assigned,1404.5970730505924
2000-Q3,APAC,Software,2211848.792012746
2000-Q3,Americas,Academic,452153.68063450564
2000-Q3,Americas,Core Test,1.0533293649405919E7
2000-Q3,Americas,Data Acquisition,3.2130912159911416E7
2000-Q3,Americas,Embedded Systems,4546909.043346273
2000-Q3,Americas,Global Services,255874.04553803842
2000-Q3,Americas,No Stripe Assigned,315.0
2000-Q3,Americas,Software,1.0682177704214983E7
2000-Q3,EMEIA,Academic,334940.5591504183
2000-Q3,EMEIA,Core Test,3909770.967214627
2000-Q3,EMEIA,Data Acquisition,1.4468028819789385E7
2000-Q3,EMEIA,Embedded Systems,2702658.0756184426
2000-Q3,EMEIA,Global Services,177585.49834528743
2000-Q3,EMEIA,No Stripe Assigned,6114.470221550352
2000-Q3,EMEIA,Software,4516758.596107042
2000-Q4,APAC,Academic,216728.69724447862
2000-Q4,APAC,Core Test,1463529.1970554031
2000-Q4,APAC,Data Acquisition,1.0801851057950592E7
2000-Q4,APAC,Embedded Systems,1147597.3791227923
2000-Q4,APAC,Global Services,82568.56093054499
2000-Q4,APAC,Software,3014280.933660767
2000-Q4,Americas,Academic,524661.2025200689
2000-Q4,Americas,Core Test,1.1122333412218634E7
2000-Q4,Americas,Data Acquisition,3.104624869198829E7
2000-Q4,Americas,Embedded Systems,5098620.5047326395
2000-Q4,Americas,Global Services,389101.9131282233
2000-Q4,Americas,No Stripe Assigned,105.0
2000-Q4,Americas,Software,1.2030247020014323E7
2000-Q4,EMEIA,Academic,604343.3255416575
2000-Q4,EMEIA,Core Test,4883943.689604446
2000-Q4,EMEIA,Data Acquisition,1.7906948729527183E7
2000-Q4,EMEIA,Embedded Systems,3491185.304060924
2000-Q4,EMEIA,Global Services,387333.1984935456
2000-Q4,EMEIA,No Stripe Assigned,246.53341710529824
2000-Q4,EMEIA,Software,6491285.448625251
2001-Q1,APAC,Academic,134438.90804660524
2001-Q1,APAC,Core Test,1586204.0097573907
2001-Q1,APAC,Data Acquisition,1.01910131372947E7
2001-Q1,APAC,Embedded Systems,1365069.2503093516
2001-Q1,APAC,Global Services,79197.04172186441
2001-Q1,APAC,No Stripe Assigned,96.534791585291
2001-Q1,APAC,Software,3037297.706582576
2001-Q1,Americas,Academic,468456.29085925396
2001-Q1,Americas,Core Test,9133562.298990693
2001-Q1,Americas,Data Acquisition,3.0194120354934502E7
2001-Q1,Americas,Embedded Systems,5226272.882335443
2001-Q1,Americas,Global Services,365874.4692712676
2001-Q1,Americas,No Stripe Assigned,75.0
2001-Q1,Americas,Software,1.1378527209730517E7
2001-Q1,EMEIA,Academic,485054.30923057284
2001-Q1,EMEIA,Core Test,4726102.228318087
2001-Q1,EMEIA,Data Acquisition,1.8054560052189387E7
2001-Q1,EMEIA,Embedded Systems,3142263.585211715
2001-Q1,EMEIA,Global Services,552837.0402955693
2001-Q1,EMEIA,No Stripe Assigned,1536.7941398391458
2001-Q1,EMEIA,Software,6176372.068163003
2001-Q2,APAC,Academic,152736.78288565794
2001-Q2,APAC,Core Test,1340688.0561254877
2001-Q2,APAC,Data Acquisition,7938229.576329494
2001-Q2,APAC,Embedded Systems,921791.379947092
2001-Q2,APAC,Global Services,82524.98877722511
2001-Q2,APAC,Software,2069260.8061889904
2001-Q2,Americas,Academic,588978.2874644204
2001-Q2,Americas,Core Test,1.016873373513154E7
2001-Q2,Americas,Data Acquisition,2.620559245528211E7
2001-Q2,Americas,Embedded Systems,4832530.200070577
2001-Q2,Americas,Global Services,375329.43195007875
2001-Q2,Americas,No Stripe Assigned,77.87
2001-Q2,Americas,Software,9784491.577860355
2001-Q2,EMEIA,Academic,422054.75875030365
2001-Q2,EMEIA,Core Test,6016255.780718339
2001-Q2,EMEIA,Data Acquisition,1.646887158651679E7
2001-Q2,EMEIA,Embedded Systems,3331577.634588541
2001-Q2,EMEIA,Global Services,307041.8924774639
2001-Q2,EMEIA,No Stripe Assigned,19164.479225539762
2001-Q2,EMEIA,Software,7180691.267567211
2001-Q3,APAC,Academic,158961.74676185875
2001-Q3,APAC,Core Test,1622736.3369629616
2001-Q3,APAC,Data Acquisition,8114095.282973601
2001-Q3,APAC,Embedded Systems,912589.7766080117
2001-Q3,APAC,Global Services,139254.41111681945
2001-Q3,APAC,No Stripe Assigned,416.5154775107195
2001-Q3,APAC,Software,1984359.0841088046
2001-Q3,Americas,Academic,487037.76456489705
2001-Q3,Americas,Core Test,8888518.291065324
2001-Q3,Americas,Data Acquisition,2.452306003847221E7
2001-Q3,Americas,Embedded Systems,4540176.297827103
2001-Q3,Americas,Global Services,373171.748630045
2001-Q3,Americas,No Stripe Assigned,1465.0
2001-Q3,Americas,Software,8255327.421338054
2001-Q3,EMEIA,Academic,374017.182653417
2001-Q3,EMEIA,Core Test,3858716.375017064
2001-Q3,EMEIA,Data Acquisition,1.3530272022930857E7
2001-Q3,EMEIA,Embedded Systems,3184800.7402227195
2001-Q3,EMEIA,Global Services,286933.72705704847
2001-Q3,EMEIA,No Stripe Assigned,25730.277602921302
2001-Q3,EMEIA,Software,5362166.048431734
2001-Q4,APAC,Academic,249534.03182400527
2001-Q4,APAC,Core Test,1632255.6695597928
2001-Q4,APAC,Data Acquisition,8864568.645882107
2001-Q4,APAC,Embedded Systems,968779.7015388758
2001-Q4,APAC,Global Services,60989.84555657609
2001-Q4,APAC,Software,1993520.6283347558
2001-Q4,Americas,Academic,434644.31931955623
2001-Q4,Americas,Core Test,9000215.896380505
2001-Q4,Americas,Data Acquisition,2.3727445306111198E7
2001-Q4,Americas,Embedded Systems,4176489.782109148
2001-Q4,Americas,Global Services,303889.4054367313
2001-Q4,Americas,No Stripe Assigned,0.0
2001-Q4,Americas,RF,20772.0
2001-Q4,Americas,Software,8604419.361759339
2001-Q4,EMEIA,Academic,599570.8533867241
2001-Q4,EMEIA,Core Test,4727098.07225853
2001-Q4,EMEIA,Data Acquisition,1.695213484516726E7
2001-Q4,EMEIA,Embedded Systems,3645104.9755358063
2001-Q4,EMEIA,Global Services,320358.77028687357
2001-Q4,EMEIA,No Stripe Assigned,8724.15393966335
2001-Q4,EMEIA,Software,7561756.108651247
2002-Q1,APAC,Academic,160287.8017542987
2002-Q1,APAC,Core Test,1558431.9952736076
2002-Q1,APAC,Data Acquisition,8598462.588153264
2002-Q1,APAC,Embedded Systems,990255.4355155755
2002-Q1,APAC,Global Services,71824.80791131408
2002-Q1,APAC,RF,5736.535601711879
2002-Q1,APAC,Software,2592700.5166120306
2002-Q1,Americas,Academic,508355.5204399893
2002-Q1,Americas,Core Test,9208547.048633387
2002-Q1,Americas,Data Acquisition,2.510352698535618E7
2002-Q1,Americas,Embedded Systems,4833988.933455494
2002-Q1,Americas,Global Services,345806.8674409187
2002-Q1,Americas,RF,27063.5
2002-Q1,Americas,Software,8598759.651982868
2002-Q1,EMEIA,Academic,580433.7856728261
2002-Q1,EMEIA,Core Test,5431917.085698978
2002-Q1,EMEIA,Data Acquisition,1.4399283590691293E7
2002-Q1,EMEIA,Embedded Systems,2963706.001671159
2002-Q1,EMEIA,Global Services,421254.1413759228
2002-Q1,EMEIA,No Stripe Assigned,1913.0634316105336
2002-Q1,EMEIA,RF,24637.51822081673
2002-Q1,EMEIA,Software,6077122.328706086
2002-Q2,APAC,Academic,291733.028233223
2002-Q2,APAC,Core Test,1605041.745152579
2002-Q2,APAC,Data Acquisition,7640066.8419554215
2002-Q2,APAC,Embedded Systems,995684.5978718877
2002-Q2,APAC,Global Services,93926.63833875547
2002-Q2,APAC,RF,3504.9283146079515
2002-Q2,APAC,Software,2052770.0005182773
2002-Q2,Americas,Academic,579252.1020043909
2002-Q2,Americas,Core Test,9906100.078472603
2002-Q2,Americas,Data Acquisition,2.581881216525021E7
2002-Q2,Americas,Embedded Systems,4744868.407072181
2002-Q2,Americas,Global Services,385004.5885123155
2002-Q2,Americas,No Stripe Assigned,237.0
2002-Q2,Americas,RF,127550.35781667828
2002-Q2,Americas,Software,8916606.446433987
2002-Q2,EMEIA,Academic,512352.3400291447
2002-Q2,EMEIA,Core Test,4436718.58106977
2002-Q2,EMEIA,Data Acquisition,1.499753119576341E7
2002-Q2,EMEIA,Embedded Systems,3266292.860406028
2002-Q2,EMEIA,Global Services,243260.52856303146
2002-Q2,EMEIA,No Stripe Assigned,10060.397221056675
2002-Q2,EMEIA,RF,9976.125493653959
2002-Q2,EMEIA,Software,6262981.082505138
2002-Q3,APAC,Academic,300589.195276615
2002-Q3,APAC,Core Test,1879997.0476083416
2002-Q3,APAC,Data Acquisition,9833204.51880498
2002-Q3,APAC,Embedded Systems,1263702.9274394333
2002-Q3,APAC,Global Services,90666.60875525986
2002-Q3,APAC,RF,8809.009614421419
2002-Q3,APAC,Software,2784761.5456049647
2002-Q3,Americas,Academic,506443.65042586514
2002-Q3,Americas,Core Test,1.0942175211855846E7
2002-Q3,Americas,Data Acquisition,2.537981372594333E7
2002-Q3,Americas,Embedded Systems,4669663.445686692
2002-Q3,Americas,Global Services,353616.97283599665
2002-Q3,Americas,RF,163597.4
2002-Q3,Americas,Software,8984045.558495183
2002-Q3,EMEIA,Academic,421319.0266383052
2002-Q3,EMEIA,Core Test,4877200.624670669
2002-Q3,EMEIA,Data Acquisition,1.4773778571158871E7
2002-Q3,EMEIA,Embedded Systems,3176802.8433909747
2002-Q3,EMEIA,Global Services,328275.31361341773
2002-Q3,EMEIA,No Stripe Assigned,2052.0646073969306
2002-Q3,EMEIA,RF,44258.927778668534
2002-Q3,EMEIA,Software,5600478.68503597
2002-Q4,APAC,Academic,324307.043155787
2002-Q4,APAC,Core Test,2207279.771620261
2002-Q4,APAC,Data Acquisition,1.0955773659076842E7
2002-Q4,APAC,Embedded Systems,1475797.7555906812
2002-Q4,APAC,Global Services,112533.67296509373
2002-Q4,APAC,No Stripe Assigned,8661.54905145836
2002-Q4,APAC,RF,5188.972898745218
2002-Q4,APAC,Software,2482322.1269662
2002-Q4,Americas,Academic,503292.5964450755
2002-Q4,Americas,Core Test,9739115.379079752
2002-Q4,Americas,Data Acquisition,2.4633817797363766E7
2002-Q4,Americas,Embedded Systems,5315616.337318434
2002-Q4,Americas,Global Services,350178.24315059226
2002-Q4,Americas,No Stripe Assigned,1954.6055722013286
2002-Q4,Americas,RF,238411.35
2002-Q4,Americas,Software,8387071.07307968
2002-Q4,EMEIA,Academic,947651.6230352804
2002-Q4,EMEIA,Core Test,7873020.595243099
2002-Q4,EMEIA,Data Acquisition,1.937445181830136E7
2002-Q4,EMEIA,Embedded Systems,4365237.834390825
2002-Q4,EMEIA,Global Services,447125.2339746415
2002-Q4,EMEIA,No Stripe Assigned,5882.879298476464
2002-Q4,EMEIA,RF,30220.937297615546
2002-Q4,EMEIA,Software,8114580.137666523
2003-Q1,APAC,Academic,576221.3673784971
2003-Q1,APAC,Core Test,3388753.211477765
2003-Q1,APAC,Data Acquisition,1.2534679911896849E7
2003-Q1,APAC,Embedded Systems,1636971.7579356676
2003-Q1,APAC,Global Services,138563.38435340088
2003-Q1,APAC,No Stripe Assigned,614.6809349499908
2003-Q1,APAC,RF,41499.59642925879
2003-Q1,APAC,Software,3363996.610830467
2003-Q1,Americas,Academic,609849.3637860989
2003-Q1,Americas,Core Test,9056694.115549188
2003-Q1,Americas,Data Acquisition,2.312643963789262E7
2003-Q1,Americas,Embedded Systems,5327581.569453356
2003-Q1,Americas,Global Services,397134.1547734735
2003-Q1,Americas,RF,167561.3038208023
2003-Q1,Americas,Software,8203141.903308454
2003-Q1,EMEIA,Academic,856526.69094287
2003-Q1,EMEIA,Core Test,6197947.813500829
2003-Q1,EMEIA,Data Acquisition,1.6325079911000568E7
2003-Q1,EMEIA,Embedded Systems,3583360.866198486
2003-Q1,EMEIA,Global Services,398779.4571298647
2003-Q1,EMEIA,Horizontal Products,0.0
2003-Q1,EMEIA,No Stripe Assigned,3360.908577077304
2003-Q1,EMEIA,RF,55400.0686547108
2003-Q1,EMEIA,Software,6674946.03787668
2003-Q2,APAC,Academic,366119.5472614268
2003-Q2,APAC,Core Test,2617684.248026405
2003-Q2,APAC,Data Acquisition,1.0775030367316287E7
2003-Q2,APAC,Embedded Systems,1736611.3986999847
2003-Q2,APAC,Global Services,136369.68526341103
2003-Q2,APAC,No Stripe Assigned,2908.547272194037
2003-Q2,APAC,RF,104702.2669714042
2003-Q2,APAC,Software,2653663.311956271
2003-Q2,Americas,Academic,917887.1636525571
2003-Q2,Americas,Core Test,9005157.640339093
2003-Q2,Americas,Data Acquisition,2.443093786506992E7
